"product_id","product_name","alergen_tags"
"14089","Hubbards Almond & Pecan Amazing Toasted Muesli","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"15162","Pams Extra Crunchy Peanut Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"16081","Pams Extra Crunchy Peanut Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"13663","Sanitarium Granola Black Doris Plum","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13019","Hubbards Light & Right Cereal Cranberry & Almond","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"7493","Food to Nourish Clusters Rose, Pistachio & Ora","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13018","Sanitarium Light N Tasty Cereal Apricot","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"9539","Ceres Organic Cacao Crunch Good Muesli","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14107","Sanitarium Light 'n' Tasty Nut Lovers Breakfast Cereal","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13880","Nutella Hazelnut Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"15155","Pams Finest Decadent Dark Chocolate Almond Butter","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"12226","Le Snak Crackers N Dip Cheese","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"14096","Harraways Cranberry Coconut & Chia Quick Serve Oats Sachets","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"13292","Bluebird Burger Rings Snacks","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"12834","Nutino Hazelnut Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"11721","Bluebird Corn Snacks Twisties Rashuns Burger Rings","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"13293","Delisio Potato Chips Sweet Chilli Relish","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"9039","Vego Hazelnut Chocolate Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"15195","Nutella Hazelnut Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"11346","Nutino Hazelnut Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"12090","Eta Munchos Corn Snacks Cheese & Onion","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"15167","Pams Hazelnut Smooth Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"12129","Countdown Cassava Vegetable Crisps Mixed","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"11112","Harraways Oat Singles Berry Bonanza","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"16091","Pams Classic Pancake Mix","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"13288","Doritos Corn Chips Supreme Cheese","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"12832","Nutella Hazelnut Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"14088","Harraways Raspberry And Lightly Toasted Coconut Oats","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"16083","Pams Hazelnut Smooth Spread","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"4881","Choc Nut Nograin-Ola","[""Egg Free"",""Gluten Free Coeliac/Celiac"",""Peanut Free"",""Sesame Free"",""Wheat Free""]"
"14114","Pams Berry Toasted Muesli","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"13491","Sanitarium Natural Muesli With Fruit & 5 Grains","[""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"8717","Food to Nourish Peanut Butter Power Spread","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"13216","Harvest Snaps Pea Snacks Original Salted","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"11926","Blue Frog Black Doris Plum Dragon Fruit & Collagen Cereal","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"15504","Forty Thieves Hemp + Nuts + Seeds Super Food Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"14099","Pams Cornflakes","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"14094","Pams Rice Snaps","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"14095","Vogel's Cafe-Style New Zealand Superfruits Muesli Oat Clusters","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"9801","Kialla Organic Spelt Flour GMO Free BULK","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"7059","Plenty Peanut Butter Crunchy","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"13476","Macro Porridge Five Grains","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
"11933","Chantal Organics Muesli Swiss Bircher","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Wheat Free""]"
"8865","Good Morning Multi Puffs","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free"",""Tree-nut Free""]"
